rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
3924,The Fight: Lights Out,Fighting,T,PlayStation 3,Sony Computer Entertainment,ColdWood Interactive,0.59,0.29,0.21,,0.09,2010,48.0,7.5
3925,Madden NFL 06,Sports,E,Xbox 360,EA Sports,EA Tiburon,0.59,0.54,0.0,0.01,0.03,2005,74.0,4.9
3926,Asphalt: Urban GT,Racing,E,Nintendo DS,Ubisoft,Gameloft,0.59,0.31,0.22,,0.06,2004,60.0,7.5
3927,Blur,Racing,E10,Xbox 360,Activision,Bizarre Creations,0.59,0.25,0.27,0.0,0.06,2010,82.0,8.3
3928,Barbie: Race & Ride,Action,E,PlayStation,Mattel Interactive,Runecraft,0.59,0.33,0.22,,0.04,1999,,
3929,Hot Shots Golf: World Invitational,Sports,E,PlayStation Vita,Sony Computer Entertainment,Clap Hanz,0.59,0.15,0.12,0.26,0.06,2012,76.0,8.1
3930,Hidden Agenda,Adventure,M,PlayStation 4,Sony Interactive Entertainment,Supermassive Games Ltd.,0.59,0.08,0.42,,0.09,2017,,
3931,Mega Man Anniversary Collection,Platform,E,PlayStation 2,Capcom,Atomic Planet Entertainment,0.59,0.29,0.22,,0.08,2004,81.0,9.0
3932,SoulCalibur V,Fighting,T,Xbox 360,Namco Bandai,Project Soul,0.59,0.39,0.13,0.02,0.05,2012,77.0,6.2
3933,Remember Me,Misc,M,PC,Capcom,DONTNOD Entertainment,0.59,,,,,2013,65.0,7.4
3934,Jeopardy!,Misc,E,Nintendo Wii,THQ,"Pipeworks Software, Inc.",0.59,0.55,,,0.04,2010,,
3935,Rayman Origins,Platform,E10,PlayStation Vita,Ubisoft,UBIart Montpellier,0.59,0.12,0.37,0.0,0.1,2012,88.0,8.4
3936,Pro Evolution Soccer 2015,Sports,E,PlayStation 3,Konami Digital Entertainment,PES Productions,0.59,0.1,0.2,0.23,0.06,2014,,7.8
3937,Alice: Madness Returns,Adventure,M,PlayStation 3,Electronic Arts,Spicy Horse,0.59,0.22,0.24,0.04,0.08,2011,70.0,7.9
3938,Harvest Moon: Friends of Mineral Town,Simulation,E,Game Boy Advance,Natsume,TOSE Software,0.59,0.34,0.13,0.11,0.01,2003,81.0,9.6
3939,Backyard NBA Basketball,Sports,E,PlayStation 2,Atari,Humongous Entertainment,0.59,0.29,0.22,,0.07,2003,,
3940,Iron Man,Action,T,Nintendo Wii,Sega,Secret Level,0.59,0.3,0.22,,0.06,2008,44.0,7.0
3941,Naruto: The Broken Bond,Action,T,Xbox 360,Ubisoft,Ubisoft Montreal,0.59,0.24,0.28,,0.06,2008,80.0,7.8
3942,Final Fantasy Explorers,Role-Playing,E10,Nintendo 3DS,Square Enix,Square Enix,0.59,0.17,0.1,0.29,0.03,2016,69.0,7.0
3943,Kirby's Dream Course,Sports,E,SNES,Nintendo,HAL Laboratory,0.59,,,0.59,0.0,1995,,
3944,Mega Man X7,Platform,E,PlayStation 2,Capcom,Capcom,0.58,0.22,0.17,0.14,0.06,2003,58.0,5.1
3945,Skylanders: Spyro's Adventure,Action,E10,Nintendo 3DS,Activision,Toys for Bob,0.58,0.33,0.2,,0.05,2011,82.0,4.9
3946,Call of Duty: Modern Warfare Remastered,Shooter,M,PlayStation 4,Activision,Infinity Ward,0.58,0.17,0.3,0.03,0.09,2017,,
3947,SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,Action,E,PlayStation 2,THQ,Incinerator Studios,0.58,0.29,0.22,,0.07,2008,,
3948,Kinect Rush: A Disney Pixar Adventure,Platform,E,Xbox 360,Microsoft Studios,Asobo Studio,0.58,0.38,0.15,,0.06,2012,68.0,5.1
3949,Dragon Quest Builders: Revive Alefgard,Role-Playing,E10,PlayStation 4,Square Enix,Square Enix,0.58,0.12,0.17,0.24,0.06,2016,,
3950,Game Party in Motion,Misc,E,Xbox 360,Warner Bros. Interactive,FarSight Studios,0.58,0.36,0.17,,0.05,2010,33.0,3.7
3951,Tokimeki Memorial: Forever with You,Simulation,,PlayStation,Konami,Konami,0.58,,,0.55,0.04,1995,,
3952,LEGO Worlds,Misc,E10,Nintendo Switch,Warner Bros. Interactive Entertainment,Traveller's Tales,0.58,0.21,0.33,0.0,0.04,2017,,
3953,Diablo,Role-Playing,M,PlayStation,Electronic Arts,Climax Group,0.58,0.29,0.19,0.07,0.04,1998,,
3954,GRID: Autosport,Racing,E,PC,Codemasters,Codemasters,0.58,,,,,2014,,
3955,TMNT,Action,E10,Xbox 360,Ubisoft,Ubisoft Montreal,0.58,0.5,0.03,,0.05,2007,58.0,6.3
3956,Q*bert,Puzzle,,Atari 2600,Parker Bros.,Gottlieb,0.58,0.55,0.03,,0.01,1983,,
3957,Farming Simulator 19,Simulation,E,PC,Focus Home Interactive,Giants Software,0.58,,0.55,,0.03,2018,,
3958,Tekken 7,Fighting,T,Xbox One,Namco Bandai Games,Namco Bandai Games,0.58,0.3,0.23,,0.05,2017,,
3959,Lost: Via Domus,Action,T,Xbox 360,Ubisoft,Ubisoft Montreal,0.58,0.18,0.34,,0.07,2008,55.0,6.4
3960,Romancing SaGa,Role-Playing,E10,PlayStation 2,Square Enix,Square Enix,0.58,0.06,0.04,0.47,0.01,2005,58.0,8.0
3961,Top Spin 3,Sports,E,Nintendo Wii,2K Sports,Pam Development,0.58,0.15,0.37,,0.07,2008,68.0,5.7
3962,Sonic & Sega All-Stars Racing Transformed,Racing,E10,Xbox 360,Sega,Sumo Digital,0.58,0.2,0.34,,0.05,2012,,
3963,Sly Cooper: Thieves in Time,Platform,E10,PlayStation 3,Sony Computer Entertainment,Sanzaru Games,0.58,0.35,0.13,,0.1,2013,75.0,8.3
3964,Middle-Earth: Shadow of Mordor,Action,M,PlayStation 3,Warner Bros. Interactive Entertainment,Monolith Productions,0.58,0.22,0.26,0.01,0.09,2014,,3.4
3965,The Lord of the Rings: The Third Age,Role-Playing,T,PlayStation 2,Electronic Arts,EA Redwood Shores,0.58,0.49,0.02,,0.08,2004,73.0,8.2
3966,NCAA Football 09,Sports,E,PlayStation 3,EA Sports,EA Tiburon,0.58,0.54,,,0.05,2008,81.0,7.3
3967,NHL 12,Sports,E10,PlayStation 3,EA Sports,EA Canada,0.58,0.36,0.16,,0.07,2011,86.0,7.5
3968,Phineas and Ferb: Across the 2nd Dimension,Action,E10,Nintendo Wii,Disney Interactive Studios,High Impact Games,0.58,0.35,0.18,,0.05,2011,76.0,8.3
3969,Cabela's Dangerous Hunts 2011,Sports,T,Nintendo Wii,Activision,Cauldron,0.58,0.53,0.02,,0.04,2010,,
3970,Fable Anniversary,Role-Playing,,PC,Microsoft Studios,Lionhead Studios,0.58,,,,,2014,,
3971,Guitar Hero: Smash Hits,Misc,T,Nintendo Wii,Activision,Neversoft Entertainment,0.58,0.31,0.21,,0.06,2009,74.0,7.7
3972,Thomas Was Alone,Misc,,PC,DECK13 Interactive GmbH,Mike Bithell Games,0.58,,,,,2012,,
3973,JoJo's Bizarre Adventure: All Star Battle,Fighting,T,PlayStation 3,Namco Bandai Games,CyberConnect2,0.58,0.05,0.02,0.5,0.01,2014,71.0,8.3
3974,Final Fantasy VIII,Role-Playing,T,PC,Square EA,SquareSoft,0.58,,,,,2000,,
3975,Payday 2,Shooter,M,Xbox 360,505 Games,Overkill Software,0.58,0.33,0.2,,0.05,2013,75.0,6.3
3976,Octodad: Dadliest Catch,Misc,,PC,Young Horses,Unknown,0.58,,,,,2014,,
3977,Sammy Sosa High Heat Baseball 2001,Sports,E,PlayStation,3DO,Team .366,0.58,0.32,0.22,,0.04,2000,,
