rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
6088,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,T,Xbox One,Namco Bandai Games,CyberConnect2,0.35,0.25,0.07,,0.03,2016,81.0,8.5
6090,Dragon Ball: Xenoverse,Fighting,T,Xbox One,Namco Bandai Games,Dimps Corporation,0.35,0.21,0.11,,0.03,2015,,
6128,Marvel vs. Capcom: Infinite,Fighting,T,Xbox One,Capcom,Capcom,0.34,0.26,0.05,,0.03,2017,,
6136,Just Dance 2017,Music,E10,Xbox One,Ubisoft,Ubisoft Paris,0.34,0.25,0.05,,0.03,2016,75.0,8.0
6249,The Lego Ninjago Movie Videogame,Action,E10,Xbox One,Warner Bros. Interactive Entertainment,Traveller's Tales,0.33,0.21,0.09,,0.03,2017,,
6284,The Crew 2,Racing,T,Xbox One,Ubisoft,Ivory Tower,0.33,0.2,0.1,,0.03,2018,,
6324,Farming Simulator 17,Simulation,E,Xbox One,Focus Home Interactive,Giants Software,0.33,0.19,0.11,,0.03,2016,65.0,
6415,LEGO The Incredibles,Action,E10,Xbox One,Warner Bros. Interactive Entertainment,Traveller's Tales,0.32,0.19,0.1,,0.03,2018,,
6466,Farming Simulator 19,Simulation,E,Xbox One,Focus Home Interactive,Giants Software,0.32,0.19,0.09,,0.03,2018,,
6532,METRO Redux,Shooter,M,Xbox One,Deep Silver,4a-games,0.31,0.15,0.14,,0.03,2014,,
6602,Hitman,Action,M,Xbox One,Square Enix,IO Interactive,0.31,0.2,0.08,,0.03,2017,,
6720,LEGO City Undercover,Platform,E10,Xbox One,Warner Bros. Interactive Entertainment,TT Fusion,0.3,0.15,0.12,,0.03,2017,,
6733,SoulCalibur VI,Fighting,T,Xbox One,Bandai Namco Games,Project Soul,0.3,0.26,0.01,,0.03,2018,,
6754,LEGO DC Super-Villains,Action-Adventure,,Xbox One,Warner Bros. Interactive Entertainment,Traveller's Tales,0.3,0.2,0.07,,0.03,2018,,
6757,Final Fantasy Type-0 HD,Role-Playing,M,Xbox One,Square Enix,Square Enix,0.3,0.2,0.07,,0.03,2015,,
6799,Sniper Elite 4,Shooter,M,Xbox One,Rebellion Developments,Rebellion Developments,0.3,0.18,0.09,,0.03,2017,,
6869,NHL 19,Sports,,Xbox One,EA Sports,EA Canada,0.29,0.26,,,0.03,2018,,
6969,Just Cause 4,Action-Adventure,M,Xbox One,Square Enix,Avalanche Studios,0.29,0.17,0.09,,0.03,2018,,
6975,Sonic Forces,Platform,E10,Xbox One,Sega,Sonic Team,0.29,0.15,0.11,,0.03,2017,,
7009,Dark Souls II: Scholar of the First Sin,Role-Playing,,Xbox One,Namco Bandai Games,From Software,0.28,0.19,0.07,,0.03,2015,,
7106,Battleborn,Shooter,,Xbox One,2K Games,Gearbox Software,0.28,0.2,0.05,,0.03,2016,71.0,7.2
7135,Rory McIlroy PGA Tour,Sports,E,Xbox One,Electronic Arts,EA Tiburon,0.28,0.16,0.09,,0.02,2015,60.0,4.3
7187,Assassin's Creed The Ezio Collection,Action,,Xbox One,Ubisoft,Ubisoft,0.27,0.13,0.12,,0.02,2016,74.0,7.6
7191,LEGO The Hobbit,Action-Adventure,E10,Xbox One,Warner Bros. Interactive Entertainment,Traveller's Tales,0.27,0.13,0.13,,0.02,2014,69.0,6.8
7196,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,Xbox One,Konami Digital Entertainment,Kojima Productions,0.27,0.13,0.13,,0.02,2014,76.0,5.4
7321,Minecraft: Story Mode - Season Two,Adventure,E10,Xbox One,Telltale Games,Telltale Games,0.27,0.17,0.08,,0.02,2017,,
7329,Skylanders Imaginators,Platform,E10,Xbox One,Activision,Toys for Bob,0.27,0.19,0.05,,0.03,2016,78.0,6.0
7373,Friday the 13th: The Game,Action,M,Xbox One,Gun Media,IllFonic,0.27,0.21,0.03,,0.03,2017,,
7382,Mega Man Legacy Collection,Platform,E,Xbox One,Capcom,Digital Eclipse Software,0.27,,,,,2015,,
7511,Jurassic World Evolution,Simulation,,Xbox One,Frontier Developments,Frontier Developments,0.26,0.15,0.09,,0.02,2018,,
7560,ReCore,Action-Adventure,T,Xbox One,Microsoft Studios,Armature Studio,0.26,0.16,0.06,0.01,0.02,2016,63.0,6.6
7582,F1 2015,Racing,,Xbox One,Codemasters,Codemasters Birmingham,0.25,0.09,0.15,,0.02,2015,64.0,5.3
7604,L.A. Noire,Adventure,M,Xbox One,Rockstar Games,Team Bondi,0.25,0.14,0.09,,0.02,2017,,
7677,Trials Fusion,Racing,E10,Xbox One,Ubisoft,RedLynx,0.25,0.12,0.1,,0.02,2015,80.0,7.1
7830,Call of Duty: Modern Warfare Remastered,Shooter,M,Xbox One,Activision,Infinity Ward,0.24,0.16,0.06,,0.02,2017,,
7848,Zumba Fitness: World Party,Misc,E,Xbox One,Majesco Entertainment,Zoe Mode,0.24,0.17,0.05,,0.02,2013,73.0,6.2
7873,Saints Row IV: Re-Elected,Action,M,Xbox One,Deep Silver,Volition Inc.,0.24,0.13,0.09,,0.02,2015,,
7881,Farming Simulator 2015,Simulation,E,Xbox One,Focus Home Interactive,Giants Software,0.24,0.13,0.09,,0.02,2015,,
7951,A Way Out,Action,M,Xbox One,Electronic Arts,Hazelight,0.24,0.17,0.05,,0.02,2018,,
7958,NBA Live 14,Sports,E,Xbox One,EA Sports,EA Tiburon,0.24,0.19,0.02,,0.02,2013,36.0,3.1
8007,Payday 2,Shooter,M,Xbox One,505 Games,Overkill Software,0.23,0.14,0.07,,0.02,2015,,
